VAN,2023,VAN,VAN,Team Level,other,26,0.52,0.53,0.5,3903.0,46.72,11.97,3.28,9.04,1.6,24.09,15.02,11.42,11.97,11.42,45.0,20.0,28.0,93.0,13.0,6.0,2.0,3.0,3.0,23.0,17.0,32.0,52.0,5.0,10.0,50.0,11.0,8.0,8.0,33.0,15.0,17.0,1.38,1.72,8.87,1.0,3.0,9.0,93.0,65.0,65.0,5.0,0.96,2.35,2.35,10.59,10.59,10.32,46.49,11.16,3.64,8.19,1.75,24.23,15.04,10.54,11.16,10.54,41.0,23.0,19.0,83.0,10.0,7.0,2.0,1.0,0.0,26.0,20.0,31.0,54.0,3.0,6.0,36.0,10.0,3.0,8.0,30.0,17.0,17.0,1.14,2.21,7.81,1.0,1.0,8.0,83.0,64.0,64.0,5.0,1.07,2.66,2.66,9.58,9.58,9.42
VAN,2023,VAN,VAN,Team Level,all,26,0.52,0.5,0.5,93984.0,796.0,88.62,56.95,190.38,26.88,431.67,302.5,84.43,89.48,85.25,754.0,343.0,453.0,1550.0,101.0,98.0,19.0,55.0,7.0,439.0,397.0,653.0,996.0,96.0,216.0,726.0,507.0,153.0,177.0,803.0,179.0,115.0,23.52,22.21,42.89,32.0,30.0,39.0,1576.99,1097.0,1111.7,113.0,12.82,23.68,23.68,77.76,78.59,76.76,808.42,80.25,56.54,194.89,27.97,433.74,318.61,76.7,79.9,76.36,785.0,327.0,413.0,1525.0,70.0,98.0,12.0,36.0,2.0,503.0,403.0,715.0,1042.0,109.0,244.0,709.0,510.0,123.0,203.0,815.0,193.0,104.0,22.05,24.33,33.87,21.0,16.0,33.0,1509.64,1112.0,1104.95,118.0,12.67,20.32,20.38,72.55,72.06,70.33
VAN,2023,VAN,VAN,Team Level,5on5,26,0.49,0.5,0.49,74315.0,588.13,51.75,39.27,148.44,19.68,318.89,231.97,49.19,52.61,50.02,550.0,260.0,340.0,1150.0,60.0,70.0,12.0,44.0,4.0,323.0,309.0,490.0,750.0,85.0,194.0,541.0,469.0,124.0,150.0,623.0,127.0,60.0,18.13,16.07,17.56,25.0,23.0,12.0,1176.99,810.0,824.7,102.0,8.14,15.33,15.33,44.56,45.39,44.59,614.1,52.98,40.33,156.72,21.17,326.53,246.28,51.14,52.62,50.8,589.0,255.0,325.0,1169.0,43.0,76.0,7.0,28.0,2.0,382.0,313.0,546.0,801.0,93.0,209.0,540.0,479.0,103.0,162.0,641.0,138.0,65.0,17.18,17.5,18.3,19.0,9.0,15.0,1153.64,844.0,836.95,91.0,8.41,14.12,14.18,47.21,46.73,45.87
VAN,2023,VAN,VAN,Team Level,4on5,26,0.14,0.11,0.13,7147.0,17.64,2.4,0.99,2.71,0.62,5.94,11.34,2.35,2.4,2.35,21.0,3.0,6.0,30.0,4.0,1.0,1.0,0.0,0.0,4.0,15.0,17.0,20.0,3.0,6.0,57.0,19.0,16.0,5.0,15.0,4.0,5.0,0.32,0.49,1.59,0.0,1.0,3.0,30.0,24.0,24.0,5.0,0.22,0.42,0.42,2.21,2.21,2.2,122.2,14.18,11.41,25.97,4.13,74.04,38.27,13.13,14.18,13.13,130.0,38.0,65.0,233.0,17.0,14.0,3.0,7.0,0.0,85.0,45.0,113.0,151.0,9.0,18.0,74.0,5.0,5.0,17.0,117.0,32.0,19.0,3.22,4.07,6.89,1.0,6.0,10.0,233.0,168.0,168.0,7.0,2.92,3.46,3.46,13.64,13.64,12.99
VAN,2023,VAN,VAN,Team Level,5on4,26,0.92,0.87,0.85,8619.0,143.51,22.5,13.41,30.19,4.98,82.76,44.17,21.47,22.5,21.47,138.0,60.0,79.0,277.0,24.0,21.0,4.0,8.0,0.0,89.0,56.0,114.0,174.0,3.0,6.0,78.0,8.0,5.0,14.0,132.0,33.0,33.0,3.69,3.94,14.88,6.0,3.0,15.0,277.0,198.0,198.0,1.0,3.49,5.59,5.59,20.41,20.41,19.66,25.65,1.94,1.16,4.01,0.93,8.95,19.02,1.88,1.94,1.88,25.0,11.0,4.0,40.0,0.0,1.0,0.0,0.0,0.0,10.0,25.0,25.0,36.0,4.0,11.0,59.0,16.0,12.0,16.0,27.0,6.0,3.0,0.52,0.55,0.88,0.0,0.0,0.0,40.0,36.0,36.0,15.0,0.27,0.09,0.09,2.12,2.12,2.05
DET,2023,DET,DET,Team Level,other,24,0.5,0.53,0.53,3801.0,50.66,9.93,3.35,9.07,1.66,26.31,19.69,9.49,9.93,9.49,47.0,23.0,19.0,89.0,11.0,5.0,1.0,5.0,0.0,25.0,24.0,36.0,59.0,4.0,6.0,40.0,12.0,5.0,5.0,40.0,15.0,15.0,1.46,1.91,6.56,1.0,2.0,8.0,89.0,70.0,70.0,3.0,0.96,1.63,1.63,9.26,9.26,8.94,46.17,9.76,3.2,8.06,1.55,22.55,17.88,9.06,9.76,9.06,43.0,20.0,17.0,80.0,9.0,3.0,0.0,2.0,0.0,27.0,22.0,34.0,54.0,4.0,8.0,37.0,4.0,8.0,9.0,31.0,18.0,14.0,1.29,2.1,6.36,1.0,2.0,6.0,80.0,63.0,63.0,3.0,0.96,0.63,0.63,10.08,10.08,9.41
DET,2023,DET,DET,Team Level,all,24,0.51,0.47,0.48,87388.0,730.92,77.14,50.09,170.73,24.45,390.04,284.55,73.17,77.85,73.87,722.0,275.0,343.0,1340.0,91.0,73.0,15.0,48.0,5.0,398.0,382.0,631.0,906.0,110.0,227.0,664.0,340.0,130.0,175.0,722.0,185.0,90.0,20.7,22.37,34.07,32.0,28.0,31.0,1355.07,997.0,1006.86,97.0,11.34,16.54,16.73,71.75,72.47,69.95,799.91,75.26,54.39,197.33,27.89,431.09,313.03,70.96,75.03,70.76,733.0,366.0,414.0,1513.0,71.0,89.0,5.0,46.0,4.0,487.0,402.0,662.0,1028.0,120.0,247.0,691.0,341.0,119.0,166.0,823.0,194.0,82.0,22.76,24.37,28.13,27.0,26.0,18.0,1496.52,1099.0,1090.14,79.0,12.34,16.06,16.06,71.54,71.37,69.13
DET,2023,DET,DET,Team Level,5on5,24,0.49,0.46,0.47,66953.0,522.4,42.8,34.12,130.54,17.89,279.97,209.67,41.12,43.52,41.82,510.0,205.0,266.0,981.0,56.0,53.0,9.0,33.0,5.0,285.0,283.0,454.0,659.0,95.0,199.0,488.0,297.0,112.0,137.0,548.0,125.0,42.0,15.38,15.29,12.14,27.0,21.0,8.0,996.07,715.0,724.86,81.0,7.07,11.02,11.2,38.68,39.39,38.8,593.6,45.22,37.84,154.89,20.7,323.92,238.42,43.3,44.98,43.09,542.0,279.0,322.0,1143.0,42.0,64.0,3.0,37.0,4.0,363.0,311.0,500.0,779.0,97.0,203.0,496.0,307.0,92.0,138.0,649.0,133.0,39.0,17.82,16.8,10.6,20.0,20.0,2.0,1126.52,821.0,812.14,73.0,7.84,10.7,10.7,42.35,42.19,41.41
DET,2023,DET,DET,Team Level,4on5,24,0.15,0.12,0.14,7819.0,24.32,3.22,1.39,3.36,0.75,7.46,14.83,2.95,3.22,2.95,28.0,3.0,2.0,33.0,2.0,2.0,1.0,0.0,0.0,10.0,17.0,26.0,29.0,6.0,12.0,54.0,23.0,10.0,12.0,19.0,5.0,7.0,0.45,0.74,2.03,0.0,1.0,1.0,33.0,31.0,31.0,12.0,0.32,0.79,0.79,2.75,2.75,2.67,135.37,18.36,12.41,30.84,4.92,77.5,38.97,16.7,18.36,16.7,124.0,59.0,70.0,253.0,18.0,22.0,2.0,6.0,0.0,94.0,43.0,106.0,165.0,15.0,28.0,87.0,8.0,7.0,15.0,118.0,39.0,26.0,3.21,4.96,10.2,5.0,4.0,9.0,253.0,183.0,183.0,0.0,3.32,4.73,4.73,16.95,16.95,16.17
DET,2023,DET,DET,Team Level,5on4,24,0.92,0.86,0.85,8815.0,133.54,21.19,11.24,27.77,4.15,76.3,40.36,19.61,21.19,19.61,137.0,44.0,56.0,237.0,22.0,13.0,4.0,10.0,0.0,78.0,58.0,115.0,159.0,5.0,10.0,82.0,8.0,3.0,21.0,115.0,40.0,26.0,3.41,4.44,13.33,4.0,4.0,14.0,237.0,181.0,181.0,1.0,3.0,3.11,3.11,21.07,21.07,19.55,24.76,1.93,0.94,3.54,0.71,7.13,17.76,1.91,1.93,1.91,24.0,8.0,5.0,37.0,2.0,0.0,0.0,1.0,0.0,3.0,26.0,22.0,30.0,4.0,8.0,71.0,22.0,12.0,4.0,25.0,4.0,3.0,0.45,0.51,0.97,1.0,0.0,1.0,37.0,32.0,32.0,3.0,0.23,0.0,0.0,2.16,2.16,2.14
